mdl 6 48.62       mdl 5 48.15
0.0074,0.0056     0.0057,0.0054
0.0076,0.0053     0.0054,0.0051
0.0112,0.0068     0.0080,0.0075
0.0828,0.0636     0.0655,0.0641
0.0011,0.0007     0.0007,0.0008
0.0070,0.0059     0.0051,0.0051
0.0558,0.0393     0.0415,0.0412
0.0159,0.0122     0.0119,0.0124
0.2850,0.2295     0.2381,0.2484
0.0074,0.0054     0.0052,0.0053
0.0076,0.0060     0.0760,0.0714
0.0069,0.0055     0.0053,0.0052
